จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
นนทบุรี,2544,4764,4620,9384
ปทุมธานี,2544,3525,3380,6905
พระนครศรีอยุธยา,2544,4411,4044,8455
อ่างทอง,2544,1230,1081,2311
ลพบุรี,2544,4017,3763,7780
สิงห์บุรี,2544,1193,1202,2395
ชัยนาท,2544,1134,1130,2264
สระบุรี,2544,3951,3566,7517
ชลบุรี,2544,11234,10372,21606
ระยอง,2544,3864,3578,7442
จันทบุรี,2544,3146,2949,6095
ตราด,2544,1324,1189,2513
ฉะเชิงเทรา,2544,3245,2942,6187
ปราจีนบุรี,2544,2997,2753,5750
นครนายก,2544,1389,1314,2703
สระแก้ว,2544,3148,2909,6057
นครราชสีมา,2544,15119,14351,29470
บุรีรัมย์,2544,9605,8997,18602
สุรินทร์,2544,8295,7934,16229
ศรีสะเกษ,2544,8495,7822,16317
อุบลราชธานี,2544,11820,11137,22957
ยโสธร,2544,2990,2829,5819
ชัยภูมิ,2544,5561,5172,10733
อำนาจเจริญ,2544,1970,1930,3900
หนองบัวลำภู,2544,2842,2749,5591
ขอนแก่น,2544,10397,9920,20317
อุดรธานี,2544,9572,9161,18733
เลย,2544,3263,3164,6427
หนองคาย,2544,5367,5171,10538
มหาสารคาม,2544,4349,4040,8389
ร้อยเอ็ด,2544,6412,5918,12330
กาฬสินธุ์,2544,4399,4342,8741
สกลนคร,2544,6955,6490,13445
นครพนม,2544,4355,4227,8582
มุกดาหาร,2544,2034,1917,3951
เชียงใหม่,2544,9441,8721,18162
ลำพูน,2544,1541,1500,3041
ลำปาง,2544,3106,2957,6063
อุตรดิตถ์,2544,2166,2013,4179
แพร่,2544,1728,1783,3511
น่าน,2544,2257,2092,4349
พะเยา,2544,2180,2027,4207
เชียงราย,2544,6048,5915,11963
แม่ฮ่องสอน,2544,2115,1929,4044
นครสวรรค์,2544,5386,5062,10448
อุทัยธานี,2544,1729,1573,3302
กำแพงเพชร,2544,3500,3273,6773
ตาก,2544,4787,4518,9305
สุโขทัย,2544,2774,2603,5377
พิษณุโลก,2544,4334,4259,8593
พิจิตร,2544,2485,2313,4798
เพชรบูรณ์,2544,4667,4413,9080
ราชบุรี,2544,5354,5111,10465
กาญจนบุรี,2544,4419,4181,8600
สุพรรณบุรี,2544,4239,3935,8174
นครปฐม,2544,5150,4724,9874
สมุทรสาคร,2544,4181,3965,8146
สมุทรสงคราม,2544,946,915,1861
เพชรบุรี,2544,2424,2289,4713
