จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
จังหวัดอุดรธานี,2542,11028,10413,21441
จังหวัดเลย,2542,3537,3348,6885
จังหวัดหนองคาย,2542,5442,5288,10730
จังหวัดมหาสารคาม,2542,4615,4251,8866
จังหวัดร้อยเอ็ด,2542,6785,6257,13042
จังหวัดกาฬสินธุ์,2542,4699,4473,9172
จังหวัดสกลนคร,2542,7507,6994,14501
จังหวัดนครพนม,2542,4599,4411,9010
จังหวัดมุกดาหาร,2542,2376,2271,4647
จังหวัดเชียงใหม่,2542,9267,8955,18222
จังหวัดลำพูน,2542,1419,1350,2769
จังหวัดลำปาง,2542,3451,3346,6797
จังหวัดอุตรดิตถ์,2542,2451,2308,4759
จังหวัดแพร่,2542,2139,1841,3980
จังหวัดน่าน,2542,2575,2541,5116
จังหวัดพะเยา,2542,2254,2239,4493
จังหวัดเชียงราย,2542,6533,6157,12690
จังหวัดแม่ฮ่องสอน,2542,1965,1774,3739
จังหวัดนครสวรรค์,2542,5527,5274,10801
จังหวัดอุทัยธานี,2542,1940,1794,3734
จังหวัดกำแพงเพชร,2542,3689,3608,7297
จังหวัดตาก,2542,4556,4187,8743
จังหวัดสุโขทัย,2542,2663,2420,5083
จังหวัดพิษณุโลก,2542,4788,4555,9343
จังหวัดพิจิตร,2542,2894,2736,5630
จังหวัดเพชรบูรณ์,2542,5174,4916,10090
จังหวัดราชบุรี,2542,5792,5371,11163
จังหวัดกาญจนบุรี,2542,4605,4247,8852
จังหวัดสุพรรณบุรี,2542,4516,4143,8659
จังหวัดนครปฐม,2542,5189,4848,10037
จังหวัดสมุทรสาคร,2542,4159,3803,7962
จังหวัดสมุทรสงคราม,2542,991,904,1895
จังหวัดเพชรบุรี,2542,2405,2343,4748
จังหวัดประจวบคีรีขันธ์,2542,3038,2772,5810
จังหวัดนครศรีธรรมราช,2542,10759,10133,20892
จังหวัดกระบี่,2542,3204,3039,6243
จังหวัดพังงา,2542,1836,1724,3560
จังหวัดภูเก็ต,2542,2839,2537,5376
จังหวัดสุราษฎร์ธานี,2542,7324,7077,14401
จังหวัดระนอง,2542,1285,1275,2560
จังหวัดชุมพร,2542,3313,3133,6446
จังหวัดสงขลา,2542,10557,9981,20538
